,StudyID,StudyTitle,StudyAuthors,StudyLoc,lats,longs,Scale,Year,Type_A,Type_B,StudyDesc,Abstract,freeTextLookup
10,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
11,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
12,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
13,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
14,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
15,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
16,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
17,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
18,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
19,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
20,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
21,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
22,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
23,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
24,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
25,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
26,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
27,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
28,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
29,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
30,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
31,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
32,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
33,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
34,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
35,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
36,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
37,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
38,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
39,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
40,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
41,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
42,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
43,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
44,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Regulatory,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
45,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
46,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
47,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
48,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
49,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
50,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
51,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
52,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
53,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
54,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
55,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,,Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
56,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
57,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
58,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
59,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
60,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
61,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
62,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
63,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
64,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
65,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
66,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Technological,Monitoring",Regional,No description available,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
67,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
68,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
69,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
70,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
71,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
72,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
73,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
74,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
75,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
76,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
77,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,"Gave brief accounts of relevant mountainous regions, their vulnerability, adaptive capacity, current adaptations, and hopes for improving adaptive capacity.",No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
78,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,No description available,No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
79,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,No description available,No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
80,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,No description available,No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
81,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,No description available,No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
82,,Building community resilience to climate change : Testing the adaptation coalition framework in Latin America,World Bank,"Rio Negro, Argentina",-40.686059,-70.992455,3,2011.0,,Local,No description available,No abstract avialable,No abstract avialable Building community resilience to climate change Testing the adaptation coalition framework in Latin America World Bank Rio Negro Argentina
