StudyTitle,Abstract_manual
Understanding Mountain Soils: A Contribution from mountain areas to the International Year of Soils 2016,"In every mountain region, soils constitute the foundation for agriculture, supporting essential ecosystem functions and food security. Mountain soils benefit not only the 900 million people living in the world’s mountainous areas but also billions more living downstream. Soil is a fragile resource that needs time to regenerate. Mountain soils are particularly susceptible to climate change, deforestation, unsustainable farming practices and resource extraction methods that affect their fertility and trigger land degradation, desertification and disasters such as floods and landslides. Mountain peoples often have a deep-rooted connection to the soils they live on; it is a part of their heritage. Over the centuries, they have developed solutions and techniques, indigenous practices, knowledge and sustainable soil management approaches which have proved to be a key to resilience. This publication, produced by the Mountain Partnership as a contribution to the International Year of Soils 2015, presents the main features of mountain soil systems, their environmental, economic and social values, the threats they are facing and the cultural traditions concerning them. Case studies provided by Mountain Partnership members and partners around the world showcase challenges and opportunities as well as lessons learned in soil management. This publication presents a series of lessons learned and recommendations to inform mountain communities, policy-makers, development experts and academics who support sustainable mountain development."
The Himalayan Ice Stupa Ladakh's Climate-adaptive Water Cache,"In Ladakh, northern India, the recent development of an ice stupa suggests a new model for climate-adaptive design thinking. Here, the region's shrinking supply of glacial meltwater has led to the creation of a novel water management strategy, in which community involvement, ecological awareness, and religious iconography have been harnessed to make the most of a diminishing natural resource. Beyond simply providing a water cache for agricultural use, the ice stupas of Ladakh reveal a sophisticated response to social, environmental, and cultural constraints. In so doing, the project provides a working model for water husbandry in northern India and valuable insight into the emerging practice of designing for climate change."
Indigenous peoples and climate change in Latin America and the Caribbean,"Indigenous peoples across Latin America and the Caribbean (LAC) already perceive and experience negative effects of climate change and variability. Although the overall economic impact of climate change on gross domestic product (GDP) is significant, what is particularly problematic is that it falls disproportionately on the poor including indigenous peoples, who constitute about 6.5 percent of the population in the region and are among its poorest and most vulnerable (Hall and Patrinos 2006). This book examines the social implications of climate change and climatic variability for indigenous communities in LAC and the options for improving their resilience and adaptability to these phenomena. By social implications, the authors mean direct and indirect effects in the broad sense of the word social, including factors contributing to human well-being, health, livelihoods, human agency, social organization, and social justice. This book, much of which relies on new empirical research, addresses specifically the situation of indigenous communities because our research showed them to be among the most vulnerable to the effects of climate change. A companion book (Verner 2010) provides information on the broader social dimensions of climate change in LAC and on policy options for addressing them. This book will help to place these impacts higher on the climate-change agenda and guide efforts to enhance indigenous peoples' rights and opportunities, whether by governments, indigenous peoples' organizations and their leaders, or non-state representatives."
How small communities respond to environmental change: patterns from tropical to polar ecosystems,"Local communities throughout the world are experiencing extensive social, cultural, economic, environmental, and climatic changes. Rather than passively accepting the effects of such changes, many communities are responding in various ways to take advantage of opportunities and to minimize negative impacts. We review examples from 13 cases around the world to identify patterns in how communities have been able to respond to change. Communities are able to respond by making changes in the time and location of activities, by using different species, by developing or using new technologies, and by organizing themselves internally or in networks. The possible responses a community can make on its own constitute the autonomous response space. When communities work with others to respond, they are in the collaborative response space. These findings suggest that assessments concerning climate and other forms of change should include local responses as a foundation for policy recommendations, recognizing that both autonomous and collaborative responses can contribute to adaptation. Policies designed to achieve adaptation or sustainability should consider ways to expand the autonomous response space, thus freeing local initiative, while also making the collaborative response space more cooperative, thus providing support to communities rather than imposing limitations."
Mountain Farming Is Family Farming,"Mountain farming is largely family farming. Thanks to its small-scale character, diversification of crops, integration of forests and husbandry activities, and low carbon footprint, mountain agriculture has evolved over the centuries in an often harsh and difficult environment and contributed to sustainable development. Cultivating mountain areas, with their patches of useable land dispersed at different altitudes, with many different climates and limited use for mechanization, is most effectively carried out by family farms. Family farming in mountains is as diverse as the myriad mountain landscapes of the world, but at the same time, there are also commonalities."
The Impact of glacier retreat in the Andes: international multidisciplinary network for adaptation strategies,"Overview of the challenges of the impact of glacier retreat in the Andes, and the activities of the International Hydrological Programme of UNESCO through an international multidisciplinary network to identify vulnerabilities, policy needs as well as adaptation strategies."
Managing climate risks and adapting to climate change in the agriculture sector in Nepal,"Projected future scenarios of climate suggest that climatic conditions in Nepal will worsen, which may imply even more frequent occurrences of climate-related extremes and negative impacts on food production. However, by adopting the right measures, it is possible to manage the climate risks and adapt to the challenges posed by increasing climate variability and climate change. Efforts to promote such measures require a comprehensive approach that includes strengthening the capacities of institutions and delivering needbased services to farming communities. This report provides detailed information about climate and its variability in Nepal, including past trends, future climate change projections and likely impacts on the agriculture sector. The report elaborates the institutional context for managing climate risks and adaptation and reiterates the need to strengthen the collection and analysis of data and information. A comprehensive typology of coping and adaptation strategies for managing current climate risks and building the necessary knowledge and good practices for advancing adaptation over the longer term is presented. The report also examines the issues and opportunities for mainstreaming climate change concerns into broader agriculture and food security policies, plans and strategies."
Restoration of overgrazed pÃ¡ramo grasslands for hydrological benefits,"The paramo  is a mountain ecosystem in the Andean tropics situated above the tree line andbelow glaciers. It is dominated by grasslands on soils with high organic carbon content.  Peat ispresent in these areas but not everywhere, only on the flatter areas.  The slopes are covered withandosols. The ecosystem is crucial for supplying water for agriculture in inter-Andean valleys,hydropower and high-altitude cities. The city of Quito started to withdraw its water from the Andes’Eastern Cordillera in the 1970s. Most of the catchment areas were placed under the protectionof National Parks. However, some areas remained in hands of families that had owned themfor centuries and hold large herds of sheep and cattle. The Quito water supply company boughtrecently two properties (8000 ha each) at the headwaters of tributaries that fed two distinct watersupply systems. Each of the properties has a centuries–long  history of overgrazing. All sheep andcattle were removed from the properties, which reduced the livestock load to some horses andoccasional visits of neighbouring cattle.This project exclusively concerns the conservation and restoration of water–related environmentalservices. Carbon sequestration or GHG effects are secondary. As there is not yet a large bodyof experience on  páramo  restoration, around 20 pilot and demonstration plots were set upto test different techniques, including simple fencing and the transplantation of plants fromwell–conserved nearby  areas. A monitoring framework was also put into place to measure thehydrological benefits of the restoration activities on the future water supply."
"Climate change, water and food security","The impacts of climate change on the global hydrological cycle are expected to vary the patterns of demand and supply of water for agriculture – the dominant user of freshwater. The extent and productivity of both irrigated and rainfed agriculture can be expected to change. As a result, the livelihoods of rural communities and the food security of a predominantly urban population are at risk from water-related impacts linked primarily to climate variability. The rural poor, who are the most vulnerable, are likely to be disproportionately affected. Adaptation measures that build upon improved land and water management practices will be fundamental in boosting overall resilience to climate change. And this is not just to maintain food security: the continued integrity of land and water systems is essential for all economic uses of water. This report summarizes current knowledge of the anticipated impacts of climate change on water availability for agriculture and examines the implications for local and national food security. It analyses expected impact of climate change on a set of major agricultural systems at risk and makes the case for immediate implementation of ‘no-regrets’ strategies which have both positive development outcomes and make agricultural systems resilient. It is hoped that policy makers and planners can use this report to frame their adaptation responses when considering both the water variable in agriculture and the competing demands from other users. "
Overcoming institutional and governance challenges in environmental management: case studies from Latin America and the Caribbean region,"The Latin America and Caribbean (LAC) region has a unique mix of qualities and challenges when it comes to the environment. It is exceptionally endowed with natural assets, with globally significant biodiversity and valuable crops, and also harbors the worlds greatest carbon sink in the Amazon. The purpose of the series is to contribute to the global knowledge exchange on innovation in environmental and water resources management and the pursuit of greener and more inclusive growth. The series addresses issues relevant to the regions environmental sustainability agenda from water resources management to environmental health, natural resource management, biodiversity conservation, environmental policy, pollution management, environmental institutions and governance, ecosystem services, environmental financing, irrigation and climate change and their linkages to development and growth. The author presents three successful case studies. The first case study describes how Colombia designed and implemented an air quality management program based on public awareness, evidence-based policy design, and political commitment to reform. The second case study examines how Brazil is promoting access to environmental justice through the public prosecutors model. A third case study shows how the modeling of climate change and monitoring of glacial retreat in the Andean countries is fostering decision making to address the increasingly important challenge of climate change adaptation."
Transitioning to climate resilient development: perspectives from communities in Peru,"The livelihoods of communities in rural areas of Peru are predominantly dependent on climate-sensitive sectors such as agriculture. Given their close connection with the environment, the understanding of how these communities perceive risks and how they adapt to and cope with climate hazards is important for identifying entry points for efforts aimed at building resilience. In this context, it is assumed that the successful use of climate information will depend on appropriate information formats that fit the decision-making structure of communities as stakeholders and also have their trust. In connection with collecting information of community knowledge on environmental predictors of weather and climatic conditions and recommendations for capacity-building needs, it is hoped that the report will provide valuable, initial guidance on which elements play an important role in strengthening the adaptive capacity of communities to climate variability and change. The objective of part one is to place climate variability and change into the broader development of Peru and outline risk management structures. This overview will then be contrasted with the perceptions of risks and vulnerabilities and coping and adaptation strategies at the community level described in part two for Northwestern Peru and the altiplano, which are regions considered highly vulnerable to climate-related hazards. The report concludes by developing a set of overarching and locale-specific recommendations."
Assessment of the impacts of climate change on mountain hydrology : development of a methodology through a case study in Peru,"The objective of the study is to develop a methodology to assess the net impacts of climate change on mountain hydrology. The development of this methodology will allow planners and policy makers to better plan for adaptation measures to address the climate change impacts on the power and water supply sectors. This report presents the methodology used to assess impacts of climate change on mountain hydrology in Peru, and some of the results obtained from employing this methodology. Chapter two presents the method and results of the climate projections (climate analysis). Chapter three presents the hydrologic model (WEAP) and describes how it is modified to take into account the complex mountain hydrological system (hydrology analysis). In chapter four the results of the climate analysis are fed into the modified hydrologic tool to assess future hydrology conditions in selected basins in Peru. Finally, chapter five presents the main conclusions of the study."
The social dimensions of adaptation of climate change in Bolivia,"The study in Bolivia was based on the concepts contained in the document methodology for the social component (October 2008) prepared by the core team in Washington. These lists the social component objectives as: to develop a methodology for estimating the costs of adaptation strategies at the local level; to identify how public adaptation policies can benefit the most vulnerable members of society; to identify how factors such as socio-economic status, gender and poverty impact on vulnerability to climate change; and to ascertain local perceptions of the costs and benefits of climate change adaptation in different agro-ecological zones. The study was conducted in four phases: 1) preparation: the main objective of the first phase is to collect qualitative, quantitative, and illustrative secondary data related to climate change and to analyze previous studies undertaken in Bolivia on climate change adaptation; 2) sampling: the second phase, which lasted one month, primarily consisted of constructing a climate vulnerability zoning pattern of the entire country to serve as a basis for identifying and selecting areas for study; 3) field work: the field work was undertaken over a period of three months, consisting of three activities: a) designing tools for field work; b) identification, recruitment and training of researchers; and c) information collection in the field through interviews and workshops; and 4) reports: the final phase involved processing and analyzing the information and drafting the final report."
Reducing vulnerability to climate change in the Swiss Alps: a study of adaptive planning,"The Swiss Alps will experience pronounced effects of climate change due to the combination of their latitudinal positioning, altitude and unique ecosystems, placing socio-economic stresses on alpine communities, many of which rely on seasonal tourism. Studies into tourism adaptation within the Swiss Alps have so far focused on the technical adaptation options of alpine stakeholders, rather than perceptions of adaptation to climate change at the operational and community level. This article investigates attitudes to adaptation in two alpine regions within Switzerland's well-established decentralized political framework, through semi-structured qualitative interviews. Stakeholders focused almost entirely on maintaining the status quo of winter tourism, through technical or marketing measures, with mixed attitudes towards climatic impacts. A matrix based on the relative internal strengths and weaknesses, external opportunities and threats of adaptation measures (a SWOT framework) was used to assess the measures and suggest how stakeholders could capitalize on the new opportunities thrown up by climate change to create a competitive advantage. A comprehensive and collaborative planning approach is vital to enable policy makers and stakeholders to maximize opportunities, minimize the adverse effects of climate change on the local economy, and develop inclusive adaptation measures that benefit the entire region in order to create more sustainable social, economic and environmental structures."
Synergies between climate mitigation and adaptation in forest landscape restoration,"The two responses to climate change - mitigating emissions and adapting to impacts - are often pursued as separate actions. But some ecosystem-based responses, like forest landscape restoration, can serve as both mitigation and adaptation tools. A new report from IUCN examines where and how restoration can serve mitigation and adaptation goals across the world and in key countries."
"Promoting science-based, community-driven approaches to climate change adaptation in glaciated mountain ranges: HiMAP","This article in the journal Geography explains the work of the USAID-funded High Mountains Adaptation Partnership (HiMAP) project in Nepal from its formation in 2012 up to August 2014. HiMAP aims to create the conditions necessary for communities who live in or are dependent upon glacial watersheds to become more resilient to the impacts of climate change. The project area included the Sagarmatha (Mount Everest) National Park and buffer zone in Khumbu. It notes that such glacier-dominated areas will pose unique challenges to highland and downstream communities as they adapt to climate change, particularly given the threats of glacial lake outburst floods (GLOFs). The article, with graphics and illustrations, discusses the impacts of climate change on glaciers in Nepal; previous research on glaciers in Peru and how their experience in reducing flood risks could be applied; and explains how field work and other parts of the HiMAP program has been carried out. This included developing the Local Adaptation Plan of Action (LAPA) process with various communities.In Khombu, six priority climate-induced hazards were identified and ranked in order of importance. These are: GLOFs, landslides, heavy snowfall, windstorms, forest fires and floods.  HiMAP helped identify adaptation activites to address each."
Bolivia - Country note on climate change aspects in agriculture,"This country note briefly summarizes information relevant to both climate change and agriculture in Bolivia, with focus on policy developments (including action plans and programs) and institutional make-up. Like most countries in Latin America, Bolivia has submitted one national communication to the United Nations Framework Convention on Climate Change (UNFCCC) with a second one under preparation. Land use change and forestry, coupled with agriculture, are by far the largest contributors to green house gas (GHG) emissions in the country. The emission reduction potential of the sector is large, but not sufficiently explored. Bolivia counts with only two registered Clean Development Mechanism (CDM) projects, none of which is in the agricultural sector. Agriculture is highly vulnerable to climate variability and weather extremes and around a third of the population derives their livelihood from agricultural production. A greater emphasis on adaptation strategies, in particular those related to water harvest and sustainable land management, as well as developing and applying adequate insurance mechanisms can be placed for better management of public resources in light of natural disasters in the agriculture sector."
Chile - Country note on climate change aspects in agriculture,"This country note briefly summarizes information relevant to both climate change and agriculture in Chile, with focus on policy developments (including action plans and programs) and institutional make-up. Like most countries in Latin America, Chile has submitted one national communication to the United Nations Framework Convention on Climate Change (UNFCCC) with a second one under preparation. Agriculture contributes little, in relative terms, to total green house gas (GHG) emissions and the mitigation potential in the sector is mainly related to afforestation and the sustainable management of native forests. Agriculture is highly vulnerable to weather extremes, in particular in the central parts of the country, where water scarcity is an issue. Desertification and soil erosion are some of the other major problems facing the country, though measures for reducing erosion are yielding positive results. A greater emphasis on developing and applying adequate insurance mechanisms can be placed for better management of public resources in light of natural disasters in the agriculture sector."
Ecuador - Country note on climate change aspects in agriculture,"This country note briefly summarizes information relevant to both climate change and agriculture in Ecuador, with focus on policy developments (including action plans and programs) and institutional make-up. Like most countries in Latin America, Ecuador has submitted one national communication to the United Nations Framework Convention on Climate Change (UNFCCC) with a second one under preparation. Land use change and forestry are the largest contributors to greenhouse gases (GHG) emissions in the country. The emission reduction potential of the agricultural sector (including land use change and forestry) is significant and not yet sufficiently explored in the country. Agriculture is highly vulnerable to weather variability. Sustainable water management and climate-sensitive insurance coverage for agricultural production can reduce some of the observed vulnerabilities in the country."
Azerbaijan - Climate change and agriculture country note,"This country note for Azerbaijan is part of a series of country briefs that summarize information relevant to climate change and agriculture for three countries in the Southern Caucasus Region, with a particular focus on climate and crop projections, adaptation and mitigation options, policy development and institutional involvement. The note series has been developed to provide a baseline of knowledge on climate change and agriculture for the countries participating in the regional program on reducing vulnerability to climate change in Southern Caucasus agricultural systems. This note for Azerbaijan was shared with the Government and other agricultural sector stakeholders and used as an engagement tool for a National Awareness Raising and Consultation Workshop, held in Baku in March 2012. Feedback and comments on the note from this consultation process have been incorporated into this updated version in collaboration with the Azerbaijan Ministry of Agriculture."
Georgia - Climate change and agriculture country note,"This country note for Georgia is part of a series of country briefs that summarize information relevant to climate change and agriculture for three countries in the Southern Caucasus Region, with a particular focus on climate and crop projections, adaptation options, policy development and institutional involvement. The note series has been developed to provide a baseline of knowledge on climate change and agriculture for the countries participating in the regional program on reducing vulnerability to climate change in Southern Caucasus agricultural systems. This note for Georgia was shared with the Government and other agricultural sector stakeholders and used as an engagement tool for a National Awareness Raising and Consultation Workshop, held in Tbilisi in April 2012. Feedback and comments on the note from this consultation process have been incorporated into this updated version in collaboration with the Georgian Ministry of Agriculture."
Kazakhstan - Overview of climate change activities,"This overview of climate change activities in Kazakhstan is part of a series of country notes for five Central Asian countries that summarize climate portfolio of the major development partners in a number of climate-sensitive sectors, namely energy, agriculture, forestry, and natural resources, water, health, and transport. Recognizing the nature and significance of climate change contribution to an increase in disaster risk, the note also looks into the development partners' approaches and measures in this area. The note further provides a brief overview of Kazakhstan's climate context in terms of observed impacts and historical trends as well as climate projections specific to sectors that are considered to be essential to the country's economic development. Finally, the note assesses national policy and institutional context related to climate change and suggests potential ways forward that can help Kazakhstan mainstream low-carbon, climate-resilient development."
Tajikistan - Overview of climate change activities,"This overview of climate change activities in Tajikistan is part of a series of country notes for five Central Asian countries that summarize climate portfolio of the major development partners in a number of climate-sensitive sectors, namely energy, agriculture, forestry and natural resources, water, health, and transport. Recognizing the nature and significance of climate change contribution to an increase in disaster risk, the note also looks into the development partners' approaches and measures in this area. The note further provides a brief overview of Tajikistan's climate context in terms of observed impacts and historical trends as well as climate projections specific to sectors that are considered to be essential to the country's economic development. Finally, the note assesses national policy and institutional context related to climate change and suggests potential ways forward that could help Tajikistan mainstream low-carbon, climate-resilient development."
Kyrgyz Republic - Overview of climate change activities,"This overview of climate change activities in the Kyrgyz Republic is part of a series of country notes for five Central Asian countries that summarize climate portfolio in a number of sectors, namely agriculture, forestry, water, health, energy, and transport. Recognizing the nature and significance of climate change contribution to an increase in disaster risk, the note also looks into the development partners' approaches and measures in this area. This note further provides a brief overview of the Kyrgyz Republic climate context in terms of observed impacts and historical trends as well as climate projections specific to sectors that are considered to be essential to the country's economic development. Finally, the note assesses national policy and institutional context related to climate change as well as suggests potential ways forward that can help the Kyrgyz Republic mainstream climate considerations into development activities and planning and create public demand for climate actions. "
Uzbekistan - Overview of climate change activities,"This overview of climate change activities in Uzbekistan is part of a series of country notes for five Central Asian countries that summarize climate portfolio in a number of sectors, namely agriculture, forestry and natural resources, water, health, energy, and transport. The note further provides a brief overview of Uzbekistan's climate context in terms of observed impacts and historical trends as well as climate projections specific to sectors that are considered to be essential to the country's economic development. Finally, the note assesses national policy and institutional context related to climate change as well as suggests potential ways forward that could help Uzbekistan mainstream climate considerations into development activities and planning and create public demand for climate actions."
Adapting to climate change: assessing the World Bank Group experience - phase three of the World Bank Group and climate change,"This paper constitutes the third and final volume of a series of assessments of the World Bank Group's engagement with climate change issues. The first focused on World Bank involvement in policy issues related to greenhouse gas mitigation. It was mainly concerned with the potential for energy price reform and energy efficiency policies to yield dividends in growth, fiscal savings, and climate change mitigation. The second volume examined project-level lessons related to greenhouse gas mitigation. This volume draws lessons from World Bank and International Finance Corporation (IFC) engagement in climate change adaptation. Like its predecessors, but to an even greater extent, this evaluation has a strong focus on learning, as the Bank Group explores a newly defined agenda. Climate change adaptation has only recently captured widespread policy attention. In strong contrast to climate mitigation, whose progress can be tracked along a single global metric (the atmospheric concentration of greenhouse gases), adaptation takes many forms, is intensely local, and resists easy definition and measurement. To a much greater extent even than climate change mitigation, adaptation is intertwined with development. Thus this evaluation looks not only at activities explicitly labeled 'climate adaptation' but also at a selection of those that might be expected to be adaptive, even if not so labeled."
